day,n,delta,day_date,day_month
1,1,1,4,3
2,1,0,5,3
3,3,2,6,3
4,6,3,7,3
5,11,5,8,3
6,17,6,9,3
7,22,5,10,3
8,31,9,11,3
9,51,20,12,3
10,68,17,13,3
11,104,36,14,3
12,125,21,15,3
13,177,52,16,3
14,238,61,17,3
15,287,49,18,3
16,355,68,19,3
17,425,70,20,3
18,536,111,21,3
19,634,98,22,3
20,749,115,23,3
21,901,152,24,3
22,1051,150,25,3
23,1221,170,26,3
24,1389,168,27,3
25,1638,249,28,3
26,1862,224,29,3
27,2055,193,30,3
28,2311,256,31,3
29,2554,243,1,4
30,2964,410,2,4
31,3383,419,3,4
32,3627,244,4,4
33,4102,475,5,4
34,4413,311,6,4
35,4848,435,7,4
36,5205,357,8,4
37,5575,370,9,4
